,location,Starbucks,Whole Foods,Movie Theater,Equinox
0,"(40.761255, -73.9744834)",10,0,4,2
1,"(40.7663935, -73.9809909)",8,1,2,1
2,"(40.5418051, -74.1961086)",0,0,0,0
3,"(40.7613979, -73.9746128)",10,0,4,2
4,"(40.7672235, -73.9698561)",3,0,2,2
5,"(40.6743632, -73.9587248)",1,0,0,0
6,"(40.809448, -73.946777)",1,1,2,0
7,"(40.5950017, -74.1064235)",0,0,0,0
8,"(40.8215857, -73.8740892)",0,0,0,0
9,"(40.6157378, -73.9696944)",0,0,0,0
10,"(40.8248699, -73.9229829)",1,0,2,0
11,"(40.6249962, -74.1553058)",0,0,0,0
12,"(40.7531191, -73.8818757)",0,0,0,0
13,"(40.7438639, -73.8745722)",0,0,0,0
14,"(40.7382981, -74.0058899)",5,0,0,2
15,"(40.5406209, -74.1671632)",0,0,0,0
16,"(40.7607676, -73.9056672)",0,0,0,0
17,"(40.6181029, -74.0369047)",1,0,0,0
18,"(40.9073699, -73.9065578)",0,0,0,0
19,"(40.7324713, -73.8670804)",4,0,0,0
20,"(40.6207403, -74.1114362)",0,0,0,0
21,"(40.7202429, -73.8430513)",2,0,2,0
22,"(40.8343936, -73.8221101)",0,0,0,0
23,"(40.5902064, -74.0958034)",0,0,0,0
24,"(40.5039785, -74.2396555)",0,0,0,0
25,"(40.710749, -73.809486)",0,0,0,0
26,"(40.7505078, -73.8851355)",2,0,0,0
27,"(40.602654, -73.9869399)",0,0,0,0
28,"(40.7557689, -73.8734231)",0,0,0,0
29,"(40.6155667, -74.0869554)",0,0,0,0
30,"(40.8242389, -73.8173809)",0,0,0,0
31,"(40.6210398, -74.1504313)",0,0,0,0
32,"(40.6274381, -74.1581613)",0,0,0,0
33,"(40.6615475, -73.898309)",0,0,0,0
34,"(40.6179165, -73.9546305)",0,0,0,0
35,"(40.6275896, -74.0016198)",0,0,0,0
36,"(40.6155667, -74.0869554)",0,0,0,0
37,"(40.7528774, -73.8211834)",0,0,0,0
38,"(40.711969, -73.9649468)",0,0,2,0
39,"(40.5159256, -74.2361135)",0,0,0,0
40,"(40.852813, -73.9176871)",0,0,0,0
41,"(40.614446, -73.9795824)",0,0,0,0
42,"(40.688312, -73.856322)",0,0,0,0
43,"(40.8260352, -73.9256625)",1,0,2,0
44,"(40.753455, -73.8209077)",0,0,0,0
45,"(40.6847504, -73.8027331)",0,0,0,0
46,"(40.725464, -73.9999212)",4,0,2,3
47,"(40.768457, -73.789417)",1,0,0,0
48,"(40.6315346, -74.0856344)",0,0,0,0
49,"(40.6233188, -74.1259917)",0,0,0,0
50,"(40.6868333, -73.8309133)",0,0,0,0
51,"(40.6042861, -74.0012526)",1,0,0,0
52,"(40.6481488, -74.0847983)",0,0,0,0
53,"(40.6281691, -74.0297598)",1,0,0,0
54,"(40.7199716, -73.9980266)",3,0,2,2
55,"(40.6866098, -73.9997131)",0,0,1,0
56,"(40.5016233, -74.2417531)",0,0,0,0
57,"(40.6175, -74.103996)",0,0,0,0
58,"(40.618648, -74.1019085)",0,0,0,0
59,"(40.6754035, -73.9742051)",1,0,0,0
60,"(40.7802357, -73.9846328)",2,0,1,2
61,"(40.5751942, -73.9669983)",0,0,0,0
62,"(40.7643711, -73.9593578)",5,0,0,1
63,"(40.7193408, -73.9856438)",1,0,1,1
64,"(40.6400234, -73.9676099)",0,0,0,0
65,"(40.6787789, -73.9643728)",0,0,0,0
66,"(40.700309, -73.8535466)",0,0,0,0
67,"(40.5632116, -74.1002521)",0,0,0,0
68,"(40.5395319, -74.1450877)",0,0,0,0
69,"(40.7765613, -73.9633167)",2,0,0,0
70,"(40.6915139, -73.935444)",0,0,0,0
71,"(40.6967268, -73.9074036)",1,0,0,0
72,"(40.6915139, -73.935444)",0,0,0,0
73,"(40.7832094, -73.7967588)",0,0,0,0
74,"(40.5874844, -74.0701056)",0,0,0,0
75,"(40.7083434, -73.9081614)",0,0,0,0
76,"(40.764953, -73.977568)",6,0,2,0
77,"(40.5785288, -73.9655666)",1,0,0,0
78,"(40.8841699, -73.8388387)",0,0,0,0
79,"(40.6534433, -73.741373)",0,0,0,0
80,"(40.7833546, -73.9499982)",2,1,0,1
81,"(40.7833546, -73.9499982)",2,1,0,1
82,"(40.7363219, -74.0018035)",4,0,1,2
83,"(40.736608, -73.9822819)",4,0,0,0
84,"(40.66911, -73.789339)",0,0,0,0
85,"(40.6499031, -73.7354706)",0,0,0,0
86,"(40.5784263, -74.105437)",0,0,0,0
87,"(40.6282935, -74.0379695)",0,0,0,0
88,"(40.6239146, -73.9291226)",0,0,0,0
89,"(40.7267732, -74.002538)",3,0,3,0
90,"(40.7986579, -73.9679035)",1,0,1,0
91,"(40.6362368, -73.939679)",0,0,0,0
92,"(40.7700395, -73.9638872)",2,0,0,0
93,"(40.8429545, -73.8249591)",0,0,0,0
94,"(40.6105856, -74.1268175)",0,0,0,0
95,"(40.6170731, -74.0383836)",0,0,0,0
96,"(40.8809873, -73.9224337)",0,0,0,0
97,"(40.8690109, -73.8564445)",0,0,0,0
98,"(40.8969146, -73.8654984)",0,0,0,0
99,"(40.782238, -73.9846322)",1,0,1,2
100,"(40.6241766, -74.0216837)",1,0,0,0
101,"(40.5159004, -74.2314825)",0,0,0,0
102,"(40.7986579, -73.9679035)",1,0,1,0
103,"(40.6813429, -73.9981509)",0,0,0,0
104,"(40.5877991, -73.9216187)",0,0,0,0
105,"(40.5247627, -74.1681035)",0,0,0,0
106,"(40.6680619, -73.9748375)",1,0,0,0
107,"(40.7897507, -73.9487257)",1,0,0,1
108,"(40.7810583, -73.9808407)",4,0,2,2
109,"(40.8235127, -73.9467514)",2,0,0,0
110,"(40.6178184, -74.0151165)",0,0,0,0
111,"(40.5423126, -74.1555672)",0,0,0,0
112,"(40.8726182, -73.8651768)",0,0,0,0
113,"(40.665357, -73.8770867)",0,0,0,0
114,"(40.6837891, -73.8381042)",0,0,0,0
115,"(40.665357, -73.8770867)",0,0,0,0
116,"(40.6837891, -73.8381042)",0,0,0,0
117,"(40.67538, -73.7472571)",0,0,0,0
118,"(40.5604695, -74.1018925)",0,0,0,0
119,"(40.772929, -73.9635462)",1,0,0,0
120,"(40.8307115, -73.9424229)",0,0,0,0
121,"(40.5980695, -73.7632649)",0,0,0,0
122,"(40.723245, -73.7293286)",0,0,0,0
123,"(40.5387812, -74.193378)",0,0,0,0
124,"(40.8246371, -73.8072061)",0,0,0,0
125,"(40.5143019, -74.2044734)",0,0,0,0
126,"(40.7143354, -74.0087443)",12,1,0,2
127,"(40.6109595, -74.060351)",0,0,0,0
128,"(40.7881763, -73.7877051)",0,0,0,0
129,"(40.6366859, -73.9488175)",1,0,0,0
130,"(40.7702318, -73.9610161)",3,0,0,1
131,"(40.8822913, -73.9137305)",1,0,0,0
132,"(40.8224987, -73.8111568)",0,0,0,0
133,"(40.755049, -73.9136386)",1,0,0,0
134,"(40.824015, -73.9502067)",1,0,0,0
135,"(40.7566899, -73.72075)",0,0,1,0
136,"(40.7302938, -73.8059248)",0,0,0,0
137,"(40.8663864, -73.8878945)",0,0,0,0
138,"(40.8176549, -73.8197053)",0,0,0,0
139,"(40.7832598, -73.976047)",3,0,4,2
140,"(40.574451, -74.0929448)",0,0,0,0
141,"(40.7616, -73.9761913)",10,0,2,2
142,"(40.8454501, -73.8209766)",0,0,0,0
143,"(40.7905714, -73.9753392)",2,1,1,1
144,"(40.5731273, -74.089182)",0,0,0,0
145,"(40.5595612, -73.9147409)",0,0,0,0
146,"(40.8423705, -73.9234444)",0,0,0,0
147,"(40.6590909, -73.8451972)",0,0,0,0
148,"(40.688533, -73.796529)",0,0,0,0
149,"(40.688533, -73.796529)",0,0,0,0
150,"(40.5950021, -73.7577376)",0,0,0,0
151,"(40.5997081, -73.9344974)",0,0,0,0
